Bore.ID,Easting,Northing,Latitude,Longitude,Date
GW400561,597735,6146023,-34.8243,148.0728,10.06.2015
GW400560,597927,6145945,-34.8241,148.0708,10.06.2015
GW400563,596874,6150629,-34.7819,148.0588,10.06.2015
GW400564,596533,6150302,-34.7849,148.0551,10.06.2015
GW400552,604835,6154803,-34.7435,148.1453,10.06.2015
GW400555,604940,6155155,-34.7403,148.1464,10.06.2015
GW400550,595537,6174223,-34.5693,148.0415,12.06.2015
GW400551,595384,6174190,-34.5696,148.0398,12.06.2015
GW400548,595812,6174131,-34.5701,148.0445,12.06.2015
GW400129,583489,6164991,-34.6536,147.9111,11.06.2015
GW400130,583475,6164979,-34.6537,147.9109,11.06.2015
Dinyah_shallow,593219,6170802.171,-34.60038,148.01662,12.06.2015
Dinyah_deep,593220,6170798.835,-34.60041,148.01663,12.06.2015
Coolac,606506,6134134.477,-34.92968,148.16614,10.06.2015
GW400251,599052,6170914,-34.5988,148.0802,11.06.2015
GW400253,599051,6170914,-34.5988,148.0802,11.06.2015
GW400255,598686,6169984,-34.6072,148.0763,12.06.2015
GW400256,598686,6169984,-34.6072,148.0763,11.06.2015
Dinyah_Hopes 7: Deep,592343,6173867.516,-34.57282,148.00674,11.06.2015
Dinyah_Hopes 7: shallow,592269,6173718.531,-34.57417,148.00595,11.06.2015
Dinyah_Lane way,592937,6172178.021,-34.588,148.0134,11.06.2015
Dinayh _Near house,593085,6171843.816,-34.591,148.01505,11.06.2015
GW400561,597735,6146023,-34.8243,148.0728,18.08.2015
GW400560,597927,6145945,-34.8241,148.0708,18.08.2015
GW400563,596874,6150629,-34.7819,148.0588,18.08.2015
GW400564,596533,6150302,-34.7849,148.0551,18.08.2015
GW400552,604835,6154803,-34.7435,148.1453,18.08.2015
GW400555,604940,6155155,-34.7403,148.1464,18.08.2015
GW400550,595537,6174223,-34.5693,148.0415,20.08.2015
GW400551,595384,6174190,-34.5696,148.0398,20.08.2015
GW400548,595812,6174131,-34.5701,148.0445,20.08.2015
GW400129,583489,6164991,-34.6536,147.9111,19.08.2015
GW400130,583475,6164979,-34.6537,147.9109,19.08.2015
